,mean_X,deletion,svt_X,knn_X,em_X
er1,6611.421162262545,11969069986.162477,10494.081019486805,4590.918724838138,4826.562141912377
er2,81.30154937363363,34695.72020698693,102.30282858488262,67.74984435513265,69.46119019595
time,0.2826807975769043,0.008013248443603516,232.24851880073547,624.1426171541214,112.62634892463684
