error,mean_X,deletion,svt_X,knn_X,em_X
er1,2298.9420680654575,4.3186722710017573e-17,1785.8609508475934,903.0274127186613,1387.3290532927927
er2,47.9301848720554,3.851609805524441e-09,42.250534399572025,30.038061500471052,37.230968951482645
time,0.26432323455810547,0.008643674850463866,59.16467406749725,189.82073044776917,36.79306600093842
